seed,group,method,model,target_city,alpha,beta,lambda_cat,lambda_rr,lambda_pop,valid_recall@20,valid_ndcg@20,selected_sources,source_weights,gate,variant
2024,main_component,Original-OTC-GW-NoFallback,LightGCN,Chicago,0.5,0.0,0.0,0.0,0.0,0.3099462513611985,0.16467054815820406,NYC|Singapore|Tokyo,equal,transfer,
2024,main_component,RD-Safe-OTC-GW,LightGCN,Chicago,0.0,0.0,0.0,0.0,0.0,0.6868421611585456,0.399268045250924,,,safe_select:Local,
2024,main_component,HR-Rerank-OTC-GW,LightGCN,Chicago,0.5,0.0,0.2,0.2,0.05,0.32805949515500576,0.18413112018668767,NYC|Singapore|Tokyo,equal,graph_rerank,
2024,hr_signal_ablation,RD-Safe+Cat,LightGCN,Chicago,0.0,0.0,0.0,0.0,0.0,0.6868421611585456,0.399268045250924,,,fallback_base,cat_only
2024,hr_signal_ablation,RD-Safe+RR,LightGCN,Chicago,0.0,0.0,0.0,0.0,0.0,0.6868421611585456,0.399268045250924,,,fallback_base,rr_only
2024,hr_signal_ablation,RD-Safe+Pop,LightGCN,Chicago,0.0,0.0,0.0,0.0,0.0,0.6868421611585456,0.399268045250924,,,fallback_base,pop_only
2024,hr_signal_ablation,RD-Safe+HR-w/o-Cat,LightGCN,Chicago,0.0,0.0,0.0,0.0,0.0,0.6868421611585456,0.399268045250924,,,fallback_base,without_cat
2024,hr_signal_ablation,RD-Safe+HR-w/o-RR,LightGCN,Chicago,0.0,0.0,0.0,0.0,0.0,0.6868421611585456,0.399268045250924,,,fallback_base,without_rr
2024,hr_signal_ablation,RD-Safe+HR-w/o-Pop,LightGCN,Chicago,0.0,0.0,0.0,0.0,0.0,0.6868421611585456,0.399268045250924,,,fallback_base,without_pop
2024,hr_signal_ablation,RD-Safe+HR-Full,LightGCN,Chicago,0.0,0.0,0.0,0.0,0.0,0.6868421611585456,0.399268045250924,,,fallback_base,full
2024,main_component,Target-only,LightGCN,NYC,0.0,0.0,0.0,0.0,0.0,0.8300375935000182,0.4737764150151009,,,local,
2024,main_component,Original-OTC-GW-NoFallback,LightGCN,NYC,0.5,0.0,0.0,0.0,0.0,0.22577542102887724,0.09318276562771313,Chicago|Singapore|Tokyo,equal,transfer,
2024,main_component,RD-Safe-OTC-GW,LightGCN,NYC,0.0,0.0,0.0,0.0,0.0,0.8300375935000182,0.4737764150151009,,,safe_select:Local,
2024,main_component,HR-Rerank-OTC-GW,LightGCN,NYC,0.5,0.0,0.2,0.2,0.0,0.23919025717412812,0.1082004316815959,Chicago|Singapore|Tokyo,equal,graph_rerank,
2024,hr_signal_ablation,RD-Safe+Cat,LightGCN,NYC,0.0,0.0,0.0,0.0,0.0,0.8300375935000182,0.4737764150151009,,,fallback_base,cat_only
2024,hr_signal_ablation,RD-Safe+RR,LightGCN,NYC,0.0,0.0,0.0,0.0,0.0,0.8300375935000182,0.4737764150151009,,,fallback_base,rr_only
2024,hr_signal_ablation,RD-Safe+Pop,LightGCN,NYC,0.0,0.0,0.0,0.0,0.0,0.8300375935000182,0.4737764150151009,,,fallback_base,pop_only
2024,hr_signal_ablation,RD-Safe+HR-w/o-Cat,LightGCN,NYC,0.0,0.0,0.0,0.0,0.0,0.8300375935000182,0.4737764150151009,,,fallback_base,without_cat
2024,hr_signal_ablation,RD-Safe+HR-w/o-RR,LightGCN,NYC,0.0,0.0,0.0,0.0,0.0,0.8300375935000182,0.4737764150151009,,,fallback_base,without_rr
2024,hr_signal_ablation,RD-Safe+HR-w/o-Pop,LightGCN,NYC,0.0,0.0,0.0,0.0,0.0,0.8300375935000182,0.4737764150151009,,,fallback_base,without_pop
2024,hr_signal_ablation,RD-Safe+HR-Full,LightGCN,NYC,0.0,0.0,0.0,0.0,0.0,0.8300375935000182,0.4737764150151009,,,fallback_base,full
2024,main_component,Target-only,LightGCN,Singapore,0.0,0.0,0.0,0.0,0.0,0.5184855171080537,0.2561494180436385,,,local,
2024,main_component,Original-OTC-GW-NoFallback,LightGCN,Singapore,0.5,0.0,0.0,0.0,0.0,0.44738216098622186,0.20388554497600686,Chicago|NYC|Tokyo,equal,transfer,
2024,main_component,RD-Safe-OTC-GW,LightGCN,Singapore,0.0,0.001,0.0,0.0,0.0,0.5211332024512265,0.2589897123107739,Tokyo,"{""Tokyo"": 1.0}",safe_select:RD,
2024,main_component,HR-Rerank-OTC-GW,LightGCN,Singapore,0.5,0.0,1.0,0.2,1.0,0.5153182579650368,0.24251566990477083,Chicago|NYC|Tokyo,equal,graph_rerank,
2024,hr_signal_ablation,RD-Safe+Cat,LightGCN,Singapore,0.0,0.001,0.0,0.0,0.0,0.5211332024512265,0.2589897123107739,Tokyo,"{""Tokyo"": 1.0}",fallback_base,cat_only
2024,hr_signal_ablation,RD-Safe+RR,LightGCN,Singapore,0.0,0.001,0.0,0.0,0.0,0.5211332024512265,0.2589897123107739,Tokyo,"{""Tokyo"": 1.0}",fallback_base,rr_only
2024,hr_signal_ablation,RD-Safe+Pop,LightGCN,Singapore,0.0,0.001,0.0,0.0,0.0,0.5211332024512265,0.2589897123107739,Tokyo,"{""Tokyo"": 1.0}",fallback_base,pop_only
2024,hr_signal_ablation,RD-Safe+HR-w/o-Cat,LightGCN,Singapore,0.0,0.001,0.0,0.0,0.0,0.5211332024512265,0.2589897123107739,Tokyo,"{""Tokyo"": 1.0}",fallback_base,without_cat
2024,hr_signal_ablation,RD-Safe+HR-w/o-RR,LightGCN,Singapore,0.0,0.001,0.0,0.0,0.0,0.5211332024512265,0.2589897123107739,Tokyo,"{""Tokyo"": 1.0}",fallback_base,without_rr
2024,hr_signal_ablation,RD-Safe+HR-w/o-Pop,LightGCN,Singapore,0.0,0.001,0.0,0.0,0.0,0.5211332024512265,0.2589897123107739,Tokyo,"{""Tokyo"": 1.0}",fallback_base,without_pop
2024,hr_signal_ablation,RD-Safe+HR-Full,LightGCN,Singapore,0.0,0.001,0.0,0.0,0.0,0.5211332024512265,0.2589897123107739,Tokyo,"{""Tokyo"": 1.0}",fallback_base,full
2024,main_component,Target-only,LightGCN,Tokyo,0.0,0.0,0.0,0.0,0.0,0.7239600144044599,0.3899398472150363,,,local,
2024,main_component,Original-OTC-GW-NoFallback,LightGCN,Tokyo,0.5,0.0,0.0,0.0,0.0,0.16608333759583488,0.07389339404097128,Chicago|NYC|Singapore,equal,transfer,
2024,main_component,RD-Safe-OTC-GW,LightGCN,Tokyo,0.0,0.0,0.0,0.0,0.0,0.7239600144044599,0.3899398472150363,,,safe_select:Local,
2024,main_component,HR-Rerank-OTC-GW,LightGCN,Tokyo,0.5,0.0,0.5,0.2,0.05,0.16648627656847406,0.0877819467985606,Chicago|NYC|Singapore,equal,graph_rerank,
2024,hr_signal_ablation,RD-Safe+Cat,LightGCN,Tokyo,0.0,0.0,0.0,0.0,0.0,0.7239600144044599,0.3899398472150363,,,fallback_base,cat_only
2024,hr_signal_ablation,RD-Safe+RR,LightGCN,Tokyo,0.0,0.0,0.0,0.0,0.0,0.7239600144044599,0.3899398472150363,,,fallback_base,rr_only
