seed,model,target_city,method,alpha,beta,lambda_cat,lambda_rr,lambda_pop,valid_recall@20,valid_ndcg@20,selected_sources,gate,score_norm
2026,VanillaMF,Chicago,HR-Rerank-OTC-GW,0.5,0.0,1.0,1.0,1.0,0.2777773117727409,0.1536679856800397,NYC|Singapore|Tokyo,graph_rerank,none
2026,VanillaMF,Chicago,RD-Safe+HR-Rerank-OTC-GW,0.0,0.0,1.0,1.0,0.5,0.3027585153947212,0.1650598906952485,,graph_rerank,none
2026,VanillaMF,NYC,Target-only,0.0,0.0,0.0,0.0,0.0,0.1524466172162024,0.0670099712782087,,local,none
2026,VanillaMF,NYC,Original-OTC-GW-NoFallback,0.5,0.0,0.0,0.0,0.0,0.1443531417379343,0.0618620704039339,Chicago|Singapore|Tokyo,transfer,none
2026,VanillaMF,NYC,RD-Safe-OTC-GW,0.0,0.0,0.0,0.0,0.0,0.1524466172162024,0.0670099712782087,,safe_select:Local,none
2026,VanillaMF,NYC,HR-Rerank-OTC-GW,0.5,0.0,1.0,1.0,0.02,0.1843099284228316,0.0870316608594592,Chicago|Singapore|Tokyo,graph_rerank,none
2026,VanillaMF,NYC,RD-Safe+HR-Rerank-OTC-GW,0.0,0.0,1.0,0.5,0.2,0.209531082077165,0.0976011796839006,,graph_rerank,none
2026,VanillaMF,Singapore,Target-only,0.0,0.0,0.0,0.0,0.0,0.4619998500181017,0.2076304916420899,,local,none
2026,VanillaMF,Singapore,Original-OTC-GW-NoFallback,0.5,0.0,0.0,0.0,0.0,0.4620395073785078,0.2043284798238354,Chicago|NYC|Tokyo,transfer,none
2026,VanillaMF,Singapore,RD-Safe-OTC-GW,0.0,0.0,0.0,0.0,0.0,0.4619998500181017,0.2076304916420899,,safe_select:Local,none
2026,VanillaMF,Singapore,HR-Rerank-OTC-GW,0.5,0.0,1.0,0.2,0.1,0.4967978618624334,0.2351913185500625,Chicago|NYC|Tokyo,graph_rerank,none
2026,VanillaMF,Singapore,RD-Safe+HR-Rerank-OTC-GW,0.0,0.0,1.0,1.0,0.02,0.5072198161771542,0.2373113438087481,,graph_rerank,none
2026,VanillaMF,Tokyo,Target-only,0.0,0.0,0.0,0.0,0.0,0.1181440634133007,0.0566807676579144,,local,none
2026,VanillaMF,Tokyo,Original-OTC-GW-NoFallback,1.0,0.0,0.0,0.0,0.0,0.1146905579912914,0.0542099715911544,Chicago|NYC|Singapore,transfer,none
2026,VanillaMF,Tokyo,RD-Safe-OTC-GW,0.0,0.0,0.0,0.0,0.0,0.1181440634133007,0.0566807676579144,,safe_select:Local,none
2026,VanillaMF,Tokyo,HR-Rerank-OTC-GW,1.0,0.0,1.0,1.0,0.1,0.153461299739727,0.0781707931578455,Chicago|NYC|Singapore,graph_rerank,none
2026,VanillaMF,Tokyo,RD-Safe+HR-Rerank-OTC-GW,0.0,0.0,1.0,1.0,0.2,0.1529879214120179,0.0775131974208778,,graph_rerank,none
2026,LightGCN,Chicago,Target-only,0.0,0.0,0.0,0.0,0.0,0.6657092236438718,0.3765493278575123,,local,none
2026,LightGCN,Chicago,Original-OTC-GW-NoFallback,0.5,0.0,0.0,0.0,0.0,0.284519222650332,0.1517479009306082,NYC|Singapore|Tokyo,transfer,none
2026,LightGCN,Chicago,RD-Safe-OTC-GW,0.0,0.0,0.0,0.0,0.0,0.6657092236438718,0.3765493278575123,,safe_select:Local,none
