seed,group,method,model,target_city,eval_split,recall@20,ndcg@20,status,notes,alpha,beta,lambda_cat,lambda_rr,lambda_pop,valid_recall@20,valid_ndcg@20,selected_sources,source_weights,gate,score_norm
2024,main_component,HR-Rerank-OTC-GW,VanillaMF,NYC,official_test,0.17033857067158323,0.09587127838727884,success,Full HR reranking on Original OTC-GW.,0.5,0.0,1.0,1.0,0.05,0.18124619108490075,0.08958466197990289,Chicago|Singapore|Tokyo,equal,graph_rerank,none
2024,main_component,HR-Rerank-OTC-GW,VanillaMF,NYC,strict_unseen_test,0.11726137341593941,0.049683147323896615,success,Full HR reranking on Original OTC-GW.,0.5,0.0,1.0,1.0,0.05,0.18124619108490075,0.08958466197990289,Chicago|Singapore|Tokyo,equal,graph_rerank,none
2024,hr_signal_ablation,RD-Safe+Cat,VanillaMF,NYC,official_test,0.15725965743037607,0.08802798225501973,success,HR signal ablation: only category-region affinity on RD-Safe.,0.0,0.05,1.0,0.0,0.0,0.1767985956695634,0.0848951006950381,Singapore,"{""Singapore"": 1.0}",graph_rerank,none
2024,hr_signal_ablation,RD-Safe+Cat,VanillaMF,NYC,strict_unseen_test,0.11126097713373624,0.05061029854309644,success,HR signal ablation: only category-region affinity on RD-Safe.,0.0,0.05,1.0,0.0,0.0,0.1767985956695634,0.0848951006950381,Singapore,"{""Singapore"": 1.0}",graph_rerank,none
2024,hr_signal_ablation,RD-Safe+RR,VanillaMF,NYC,official_test,0.14577518577201617,0.07608926922996954,success,HR signal ablation: only region-region diffusion on RD-Safe.,0.0,0.05,0.0,1.0,0.0,0.16122728525954333,0.0720373310847849,Singapore,"{""Singapore"": 1.0}",graph_rerank,none
2024,hr_signal_ablation,RD-Safe+RR,VanillaMF,NYC,strict_unseen_test,0.09878234358175003,0.043144186047645285,success,HR signal ablation: only region-region diffusion on RD-Safe.,0.0,0.05,0.0,1.0,0.0,0.16122728525954333,0.0720373310847849,Singapore,"{""Singapore"": 1.0}",graph_rerank,none
2024,hr_signal_ablation,RD-Safe+Pop,VanillaMF,NYC,official_test,0.13182293726385133,0.06440266003711034,success,HR signal ablation: only region popularity prior on RD-Safe.,0.0,0.05,0.0,0.0,0.2,0.15690709316285353,0.07019497805286,Singapore,"{""Singapore"": 1.0}",graph_rerank,none
2024,hr_signal_ablation,RD-Safe+Pop,VanillaMF,NYC,strict_unseen_test,0.10755597697204315,0.04616276468098648,success,HR signal ablation: only region popularity prior on RD-Safe.,0.0,0.05,0.0,0.0,0.2,0.15690709316285353,0.07019497805286,Singapore,"{""Singapore"": 1.0}",graph_rerank,none
2024,hr_signal_ablation,RD-Safe+HR-w/o-Cat,VanillaMF,NYC,official_test,0.14577518577201617,0.07608926922996954,success,HR leave-one-out ablation: remove category-region affinity.,0.0,0.05,0.0,1.0,0.0,0.16122728525954333,0.0720373310847849,Singapore,"{""Singapore"": 1.0}",graph_rerank,none
2024,hr_signal_ablation,RD-Safe+HR-w/o-Cat,VanillaMF,NYC,strict_unseen_test,0.09878234358175003,0.043144186047645285,success,HR leave-one-out ablation: remove category-region affinity.,0.0,0.05,0.0,1.0,0.0,0.16122728525954333,0.0720373310847849,Singapore,"{""Singapore"": 1.0}",graph_rerank,none
2024,hr_signal_ablation,RD-Safe+HR-w/o-RR,VanillaMF,NYC,official_test,0.15552268472566141,0.08747143046801255,success,HR leave-one-out ablation: remove region-region diffusion.,0.0,0.05,1.0,0.0,0.1,0.17617824827502246,0.08494676246554402,Singapore,"{""Singapore"": 1.0}",graph_rerank,none
2024,hr_signal_ablation,RD-Safe+HR-w/o-RR,VanillaMF,NYC,strict_unseen_test,0.109948641175731,0.05024340730463019,success,HR leave-one-out ablation: remove region-region diffusion.,0.0,0.05,1.0,0.0,0.1,0.17617824827502246,0.08494676246554402,Singapore,"{""Singapore"": 1.0}",graph_rerank,none
2024,hr_signal_ablation,RD-Safe+HR-w/o-Pop,VanillaMF,NYC,official_test,0.17143588584644084,0.09630064322169807,success,HR leave-one-out ablation: remove region popularity prior.,0.0,0.05,1.0,0.5,0.0,0.18693988295370784,0.08937410390480394,Singapore,"{""Singapore"": 1.0}",graph_rerank,none
2024,hr_signal_ablation,RD-Safe+HR-w/o-Pop,VanillaMF,NYC,strict_unseen_test,0.1154758011579262,0.05029732868151704,success,HR leave-one-out ablation: remove region popularity prior.,0.0,0.05,1.0,0.5,0.0,0.18693988295370784,0.08937410390480394,Singapore,"{""Singapore"": 1.0}",graph_rerank,none
2024,hr_signal_ablation,RD-Safe+HR-Full,VanillaMF,NYC,official_test,0.17143588584644084,0.09631004157611762,success,Full HR reranking on RD-Safe base.,0.0,0.05,1.0,0.5,0.05,0.18693988295370784,0.08937871805367754,Singapore,"{""Singapore"": 1.0}",graph_rerank,none
2024,hr_signal_ablation,RD-Safe+HR-Full,VanillaMF,NYC,strict_unseen_test,0.1154758011579262,0.05030766153905947,success,Full HR reranking on RD-Safe base.,0.0,0.05,1.0,0.5,0.05,0.18693988295370784,0.08937871805367754,Singapore,"{""Singapore"": 1.0}",graph_rerank,none
2024,main_component,Target-only,VanillaMF,Singapore,official_test,0.4480516475017696,0.24073487469026292,success,Local target-city backbone only.,0.0,0.0,0.0,0.0,0.0,0.483231005551381,0.21339589510224355,,,local,none
2024,main_component,Target-only,VanillaMF,Singapore,strict_unseen_test,0.4050341970670523,0.1802101167811076,success,Local target-city backbone only.,0.0,0.0,0.0,0.0,0.0,0.483231005551381,0.21339589510224355,,,local,none
2024,main_component,Original-OTC-GW-NoFallback,VanillaMF,Singapore,official_test,0.4176065138381798,0.2264214412315007,success,Original no-fallback OTC-GW.,0.5,0.0,0.0,0.0,0.0,0.4548094549709771,0.20454060228458948,Chicago|NYC|Tokyo,equal,transfer,none
2024,main_component,Original-OTC-GW-NoFallback,VanillaMF,Singapore,strict_unseen_test,0.3743986625209032,0.16901557968107128,success,Original no-fallback OTC-GW.,0.5,0.0,0.0,0.0,0.0,0.4548094549709771,0.20454060228458948,Chicago|NYC|Tokyo,equal,transfer,none
2024,main_component,RD-Safe-OTC-GW,VanillaMF,Singapore,official_test,0.4480516475017696,0.24073487469026292,success,RD-Safe reliability-aware safe transfer.,0.0,0.0,0.0,0.0,0.0,0.483231005551381,0.21339589510224355,,,safe_select:Local,none
2024,main_component,RD-Safe-OTC-GW,VanillaMF,Singapore,strict_unseen_test,0.4050341970670523,0.1802101167811076,success,RD-Safe reliability-aware safe transfer.,0.0,0.0,0.0,0.0,0.0,0.483231005551381,0.21339589510224355,,,safe_select:Local,none
2024,main_component,HR-Rerank-OTC-GW,VanillaMF,Singapore,official_test,0.47605972590347756,0.2703212356912471,success,Full HR reranking on Original OTC-GW.,0.5,0.0,1.0,0.2,0.0,0.49045729200504884,0.23328982297346743,Chicago|NYC|Tokyo,equal,graph_rerank,none
2024,main_component,HR-Rerank-OTC-GW,VanillaMF,Singapore,strict_unseen_test,0.4069250696009901,0.17841086526037275,success,Full HR reranking on Original OTC-GW.,0.5,0.0,1.0,0.2,0.0,0.49045729200504884,0.23328982297346743,Chicago|NYC|Tokyo,equal,graph_rerank,none
2024,hr_signal_ablation,RD-Safe+Cat,VanillaMF,Singapore,official_test,0.4948271184032341,0.2876276455178636,success,HR signal ablation: only category-region affinity on RD-Safe.,0.0,0.0,1.0,0.0,0.0,0.5047277787530474,0.2420032117849479,,,graph_rerank,none
2024,hr_signal_ablation,RD-Safe+Cat,VanillaMF,Singapore,strict_unseen_test,0.4215868200169305,0.1839199873892302,success,HR signal ablation: only category-region affinity on RD-Safe.,0.0,0.0,1.0,0.0,0.0,0.5047277787530474,0.2420032117849479,,,graph_rerank,none
2024,hr_signal_ablation,RD-Safe+RR,VanillaMF,Singapore,official_test,0.4510783195789045,0.24044310377290878,success,HR signal ablation: only region-region diffusion on RD-Safe.,0.0,0.0,0.0,0.5,0.0,0.492778191811672,0.2181365028941463,,,graph_rerank,none
2024,hr_signal_ablation,RD-Safe+RR,VanillaMF,Singapore,strict_unseen_test,0.4047400522048324,0.17966407672156584,success,HR signal ablation: only region-region diffusion on RD-Safe.,0.0,0.0,0.0,0.5,0.0,0.492778191811672,0.2181365028941463,,,graph_rerank,none
2024,hr_signal_ablation,RD-Safe+Pop,VanillaMF,Singapore,official_test,0.4480516475017696,0.24073487469026292,success,HR signal ablation: only region popularity prior on RD-Safe.,0.0,0.0,0.0,0.0,0.0,0.483231005551381,0.21339589510224355,,,fallback_base,none
2024,hr_signal_ablation,RD-Safe+Pop,VanillaMF,Singapore,strict_unseen_test,0.4050341970670523,0.1802101167811076,success,HR signal ablation: only region popularity prior on RD-Safe.,0.0,0.0,0.0,0.0,0.0,0.483231005551381,0.21339589510224355,,,fallback_base,none
2024,hr_signal_ablation,RD-Safe+HR-w/o-Cat,VanillaMF,Singapore,official_test,0.44565718717956965,0.2408276730647596,success,HR leave-one-out ablation: remove category-region affinity.,0.0,0.0,0.0,0.1,0.5,0.48914293377444695,0.22009955154495503,,,graph_rerank,none
2024,hr_signal_ablation,RD-Safe+HR-w/o-Cat,VanillaMF,Singapore,strict_unseen_test,0.4022199411801707,0.17954737434581444,success,HR leave-one-out ablation: remove category-region affinity.,0.0,0.0,0.0,0.1,0.5,0.48914293377444695,0.22009955154495503,,,graph_rerank,none
2024,hr_signal_ablation,RD-Safe+HR-w/o-RR,VanillaMF,Singapore,official_test,0.4946337415601112,0.2877509590190339,success,HR leave-one-out ablation: remove region-region diffusion.,0.0,0.0,1.0,0.0,0.1,0.5047277787530474,0.2420484076044753,,,graph_rerank,none
2024,hr_signal_ablation,RD-Safe+HR-w/o-RR,VanillaMF,Singapore,strict_unseen_test,0.42214547923480755,0.18435192663847635,success,HR leave-one-out ablation: remove region-region diffusion.,0.0,0.0,1.0,0.0,0.1,0.5047277787530474,0.2420484076044753,,,graph_rerank,none
2024,hr_signal_ablation,RD-Safe+HR-w/o-Pop,VanillaMF,Singapore,official_test,0.49598737946197236,0.2891525760862216,success,HR leave-one-out ablation: remove region popularity prior.,0.0,0.0,1.0,0.1,0.0,0.5098039208850271,0.24489764640417852,,,graph_rerank,none
2024,hr_signal_ablation,RD-Safe+HR-w/o-Pop,VanillaMF,Singapore,strict_unseen_test,0.42298346806162324,0.18456651075839559,success,HR leave-one-out ablation: remove region popularity prior.,0.0,0.0,1.0,0.1,0.0,0.5098039208850271,0.24489764640417852,,,graph_rerank,none
2024,hr_signal_ablation,RD-Safe+HR-Full,VanillaMF,Singapore,official_test,0.49598737946197236,0.2892144575217837,success,Full HR reranking on RD-Safe base.,0.0,0.0,1.0,0.1,0.02,0.5098039208850271,0.24498371837756883,,,graph_rerank,none
2024,hr_signal_ablation,RD-Safe+HR-Full,VanillaMF,Singapore,strict_unseen_test,0.42298346806162324,0.1846417601603739,success,Full HR reranking on RD-Safe base.,0.0,0.0,1.0,0.1,0.02,0.5098039208850271,0.24498371837756883,,,graph_rerank,none
2024,main_component,Target-only,VanillaMF,Tokyo,official_test,0.12565801609759913,0.0671503947217333,success,Local target-city backbone only.,0.0,0.0,0.0,0.0,0.0,0.11741081071154416,0.05608852170551169,,,local,none
