group,method,model,target_city,eval_split,recall@20_mean,ndcg@20_mean,recall@20_std,ndcg@20_std,recall@20_mean±std,ndcg@20_mean±std
hr_signal_ablation,RD-Safe+HR-w/o-Pop,LightGCN,Chicago,strict_unseen_test,0.19337439012512647,0.10045410892196688,0.010275465954143389,0.0019848755961735117,0.1934±0.0103,0.1005±0.0020
hr_signal_ablation,RD-Safe+HR-w/o-Pop,LightGCN,NYC,official_test,0.20203272937442388,0.11507973168565176,0.009444348464795539,0.002017813921184692,0.2020±0.0094,0.1151±0.0020
hr_signal_ablation,RD-Safe+HR-w/o-Pop,LightGCN,NYC,strict_unseen_test,0.13199067087519864,0.05444284329561099,0.011182110702545135,0.003637416565376565,0.1320±0.0112,0.0544±0.0036
hr_signal_ablation,RD-Safe+HR-w/o-Pop,LightGCN,Singapore,official_test,0.46898682878056386,0.2640283540500535,0.01567065990356031,0.025987240684311585,0.4690±0.0157,0.2640±0.0260
hr_signal_ablation,RD-Safe+HR-w/o-Pop,LightGCN,Singapore,strict_unseen_test,0.3883360989610722,0.17356783442992216,0.007167575522045047,0.002957091047860927,0.3883±0.0072,0.1736±0.0030
hr_signal_ablation,RD-Safe+HR-w/o-Pop,LightGCN,Tokyo,official_test,0.17591931954887488,0.11305197263962692,0.00535655599006973,0.0012069199760287492,0.1759±0.0054,0.1131±0.0012
hr_signal_ablation,RD-Safe+HR-w/o-Pop,LightGCN,Tokyo,strict_unseen_test,0.11211754768545262,0.05232046059338066,0.0080870597115188,0.004371142406111036,0.1121±0.0081,0.0523±0.0044
hr_signal_ablation,RD-Safe+HR-w/o-Pop,VanillaMF,Chicago,official_test,0.23746464804364573,0.16389337932212922,0.00949964992384107,0.0021749580865604145,0.2375±0.0095,0.1639±0.0022
hr_signal_ablation,RD-Safe+HR-w/o-Pop,VanillaMF,Chicago,strict_unseen_test,0.16504361509069357,0.08122321186476929,0.011521215637193079,0.002973502452496312,0.1650±0.0115,0.0812±0.0030
hr_signal_ablation,RD-Safe+HR-w/o-Pop,VanillaMF,NYC,official_test,0.1756117355262797,0.09916724082259602,0.0038301507347808465,0.0025849499500866296,0.1756±0.0038,0.0992±0.0026
hr_signal_ablation,RD-Safe+HR-w/o-Pop,VanillaMF,NYC,strict_unseen_test,0.11751084980714809,0.051976488096322805,0.0029154383417166335,0.0014561586922190023,0.1175±0.0029,0.0520±0.0015
hr_signal_ablation,RD-Safe+HR-w/o-Pop,VanillaMF,Singapore,official_test,0.4966440310139471,0.2842417066555382,0.0006307822069767527,0.0045199431050182825,0.4966±0.0006,0.2842±0.0045
