model,method,target_city,eval_split,recall@20_mean,ndcg@20_mean,delta_R_vs_target_mean,delta_N_vs_target_mean,pct_R_vs_target_mean,pct_N_vs_target_mean,delta_R_vs_otc_mean,delta_N_vs_otc_mean,pct_R_vs_otc_mean,pct_N_vs_otc_mean,recall@20_std,ndcg@20_std,delta_R_vs_target_std,delta_N_vs_target_std,pct_R_vs_target_std,pct_N_vs_target_std,delta_R_vs_otc_std,delta_N_vs_otc_std,pct_R_vs_otc_std,pct_N_vs_otc_std,recall@20_mean±std,ndcg@20_mean±std
LightGCN,Original-OTC-GW-NoFallback,NYC,official_test,0.12221071785367814,0.0649775341375448,-0.07982201152074565,-0.0501021975481069,-39.41834997729524,-43.50661905440504,0.0,0.0,0.0,0.0,0.00868610082094099,0.007837529108617621,0.012830136222367656,0.008532837843777752,5.289615248751369,7.177725192169817,0.0,0.0,0.0,0.0,0.1222±0.0087,0.0650±0.0078
LightGCN,Original-OTC-GW-NoFallback,NYC,strict_unseen_test,0.09103269478119509,0.04220326485580966,-0.0409579760940035,-0.012239578439801268,-30.553494979538268,-22.06370476177487,0.0,0.0,0.0,0.0,0.007144492681096658,0.002494976878284221,0.015626827963826022,0.005881745162452666,9.982006245249043,9.751187073171245,0.0,0.0,0.0,0.0,0.0910±0.0071,0.0422±0.0025
LightGCN,Original-OTC-GW-NoFallback,Singapore,official_test,0.41106930853193724,0.2183307464486659,-0.058349057599026734,-0.04571640785339363,-12.442263927253961,-17.278336604478834,0.0,0.0,0.0,0.0,0.016852966398071247,0.007610909773541325,0.0113648313383749,0.010584680009674389,2.5128302879581614,3.7267812192986955,0.0,0.0,0.0,0.0,0.4111±0.0169,0.2183±0.0076
LightGCN,Original-OTC-GW-NoFallback,Singapore,strict_unseen_test,0.36485037863817027,0.16795671514814378,-0.03008661761117502,-0.0103937860002912,-7.7402119599144195,-6.029434548419556,0.0,0.0,0.0,0.0,0.03527461045248009,0.020119246223553794,0.023330878742447478,0.011824303722720276,6.185413916284886,6.72031233643224,0.0,0.0,0.0,0.0,0.3649±0.0353,0.1680±0.0201
LightGCN,Original-OTC-GW-NoFallback,Tokyo,official_test,0.135907295867049,0.07486081710959651,-0.040012023681825826,-0.038191155530030364,-22.740559648388373,-33.79078560559886,0.0,0.0,0.0,0.0,0.006895487601287886,0.004349048365932384,0.005875216249779298,0.0038726004276989877,3.2429312746889347,3.5231963077715704,0.0,0.0,0.0,0.0,0.1359±0.0069,0.0749±0.0043
LightGCN,Original-OTC-GW-NoFallback,Tokyo,strict_unseen_test,0.11199720881205123,0.0553323602216133,-0.00012033887340133498,0.003011899628232668,-0.06949631623763343,5.870945424369146,0.0,0.0,0.0,0.0,0.009175360486510504,0.004456943976632284,0.005571619104393967,0.0027629602490901847,5.1646880059160525,5.712981744179353,0.0,0.0,0.0,0.0,0.1120±0.0092,0.0553±0.0045
LightGCN,RD-Safe+HR-Rerank-OTC-GW,Chicago,official_test,0.2762458588395536,0.20436817564130225,0.0,0.0,0.0,0.0,0.030869597693125805,0.046288397291840915,12.570931574725734,29.428458807668438,0.009169542392533628,0.004066646890473409,0.0,0.0,0.0,0.0,0.0026871545158210436,0.004818547834336973,0.8420013752765092,4.53748261867171,0.2762±0.0092,0.2044±0.0041
LightGCN,RD-Safe+HR-Rerank-OTC-GW,Chicago,strict_unseen_test,0.19337439012512644,0.10045410892196682,0.0,0.0,0.0,0.0,0.00036151151271955156,-0.002754599772193241,0.14644551704914957,-2.343161898434026,0.010275465954143389,0.001984875596173512,0.0,0.0,0.0,0.0,0.005855287559362216,0.007848760667091143,2.9864912369019176,7.154326633697112,0.1934±0.0103,0.1005±0.0020
LightGCN,RD-Safe+HR-Rerank-OTC-GW,NYC,official_test,0.20203272937442382,0.1150797316856517,0.0,0.0,0.0,0.0,0.07982201152074565,0.0501021975481069,65.89241986085402,78.90258545576141,0.009444348464795527,0.0020178139211846752,0.0,0.0,0.0,0.0,0.012830136222367656,0.008532837843777752,14.204061116370777,22.378083341616744,0.2020±0.0094,0.1151±0.0020
LightGCN,RD-Safe+HR-Rerank-OTC-GW,NYC,strict_unseen_test,0.13199067087519858,0.054442843295610936,0.0,0.0,0.0,0.0,0.0409579760940035,0.012239578439801268,45.85186958912356,29.57275345216277,0.01118211070254519,0.0036374165653765642,0.0,0.0,0.0,0.0,0.015626827963826022,0.005881745162452666,19.371362917507806,15.141303899234176,0.1320±0.0112,0.0544±0.0036
